ENTITY,NAME,PUBLIC,PUBLIC NAME,CATEGORY,SHARED,FIELD NAME,FIELD LABEL,FIELD TYPE,ENUM VALUES,MANDATORY,FOREIGN KEY,ALLOW EDIT,ALLOW EDIT ON CREATE,ORIGIN FIELD,ORIGIN TABLE
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,DeliveryAddressTimeZone,Delivery time zone,Enum,"24-(GMT-12:00) International Date Line West | 99-(GMT-11:00) Coordinated Universal Time-11 | 39-(GMT-10:00) Hawaii | 2-(GMT-09:00) Alaska | 58-(GMT-08:00) Pacific Time (US & Canada) | 59-(GMT-08:00) Tijuana, Baja California | 75-(GMT-07:00) Arizona | 47-(GMT-07:00) Mountain Time (US & Canada) | 48-(GMT-07:00) Chihuahua, La Paz, Mazatlan | 15-(GMT-06:00) Central America | 21-(GMT-06:00) Central Time (US & Canada) | 22-(GMT-06:00) Guadalajara, Mexico City, Monterrey | 11-(GMT-06:00) Saskatchewan | 63-(GMT-05:00) Bogota, Lima, Quito, Rio Branco | 105-(GMT-05:00) Chetumal | 29-(GMT-05:00) Eastern Time (US & Canada) | 74-(GMT-05:00) Indiana (East) | 85-(GMT-04:30) Caracas | 95-(GMT-04:00) Asuncion | 6-(GMT-04:00) Atlantic Time (Canada) | 64-(GMT-04:00) La Paz | 17-(GMT-04:00) Manaus | 54-(GMT-03:30) Newfoundland | 28-(GMT-03:00) Brasilia | 86-(GMT-03:00) Buenos Aires | 62-(GMT-03:00) Buenos Aires, Georgetown | 36-(GMT-03:00) Greenland | 83-(GMT-03:00) Montevideo | 87-(GMT-03:00) Salvador | 57-(GMT-03:00) Santiago | 45-(GMT-02:00) Mid-Atlantic | 10-(GMT-01:00) Azores | 12-(GMT-01:00) Cabo Verde Is. | 93-(GMT) Casablanca | 89-(GMT) Coordinated Universal Time | 37-(GMT) Casablanca, Monrovia, Reykjavik | 35-(GMT) Greenwich Mean Time : Dublin, Edinburgh, Lisbon, London | 79-(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna | 18-(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague | 60-(GMT+01:00) Brussels, Copenhagen, Madrid, Paris | 19-(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb | 101-(GMT+01:00) Tripoli | 78-(GMT+01:00) West Central Africa | 43-(GMT+02:00) Amman | 38-(GMT+02:00) Athens, Bucharest, Istanbul | 46-(GMT+02:00) Beirut | 27-(GMT+02:00) Minsk | 30-(GMT+02:00) Cairo | 96-(GMT+02:00) Damascus | 68-(GMT+02:00) Harare, Pretoria | 33-(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius | 42-(GMT+02:00) Jerusalem | 51-(GMT+02:00) Windhoek | 98-(GMT+03:00) Istanbul | 90-(GMT+02:00) Kaliningrad (RTZ 1) | 5-(GMT+03:00) Baghdad | 3-(GMT+03:00) Kuwait, Riyadh | 61-(GMT+03:00) Moscow, St. Petersburg, Volgograd (RTZ 2) | 92-(GMT+04:00) Port Louis | 25-(GMT+03:00) Nairobi | 34-(GMT+03:00) Tbilisi | 41-(GMT+03:30) Tehran | 4-(GMT+04:00) Abu Dhabi, Muscat | 9-(GMT+04:00) Baku | 104-(GMT+04:00) Izhevsk, Samara (RTZ 3) | 84-(GMT+04:00) Yerevan | 13-(GMT+04:00) Yerevan (Do not use) | 1-(GMT+04:30) Kabul | 31-(GMT+05:00) Ekaterinburg (RTZ 4) | 94-(GMT+05:00) Islamabad, Karachi | 80-(GMT+05:00) Toshkent | 40-(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi | 69-(GMT+05:30) Sri Jayawardenepura | 52-(GMT+05:45) Kathmandu | 16-(GMT+06:00) Astana, Dhaka | 88-(GMT+06:00) Dhaka | 50-(GMT+06:00) Novosibirsk (RTZ 5) | 49-(GMT+06:30) Yangon (Rangoon) | 66-(GMT+07:00) Bangkok, Hanoi, Jakarta | 56-(GMT+07:00) Krasnoyarsk (RTZ 6) | 23-(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi | 55-(GMT+08:00) Irkutsk (RTZ 7) | 97-(GMT+08:00) Ulaanbaatar | 67-(GMT+08:00) Kuala Lumpur, Singapore | 77-(GMT+08:00) Perth | 70-(GMT+08:00) Taipei | 72-(GMT+09:00) Osaka, Sapporo, Tokyo | 44-(GMT+09:00) Seoul | 82-(GMT+09:00) Yakutsk (RTZ 8) | 14-(GMT+09:30) Adelaide | 7-(GMT+09:30) Darwin | 26-(GMT+10:00) Brisbane | 8-(GMT+10:00) Canberra, Melbourne, Sydney | 81-(GMT+10:00) Guam, Port Moresby | 71-(GMT+10:00) Hobart | 76-(GMT+10:00) Vladivostok, Magadan (RTZ 9) | 102-(GMT+11:00) Chokurdakh (RTZ 10) | 20-(GMT+11:00) Magadan, Solomon Is., New Caledonia | 91-(GMT+12:00) Magadan (Do not use) | 103-(GMT+12:00) Anadyr, Petropavlovsk-Kamchatsky (RTZ 11) | 53-(GMT+12:00) Auckland, Wellington | 100-(GMT+12:00) Coordinated Universal Time+12 | 32-(GMT+12:00) Fiji, Kamchatka, Marshall Is. | 65-(GMT+13:00) Samoa | 73-(GMT+13:00) Nuku'alofa",No,No,Yes,Yes,TimeZone,DeliveryLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,DeliveryAddressCity,Delivery city,String (60),,No,No,Yes,Yes,City,DeliveryLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,DeliveryAddressCountryRegionId,Delivery country/region,String (10),,No,No,Yes,Yes,CountryRegionId,DeliveryLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,DeliveryAddressCountryRegionISOCode,Delivery ISO,String (2),,No,No,Yes,Yes,CountryRegionISOCode,DeliveryLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,DeliveryAddressCounty,Delivery county,String (10),,No,No,Yes,Yes,County,DeliveryLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,DeliveryAddressDistrictName,@AccountsReceivable:CustCustomerV3DeliveryAddressDistrictName,String (60),,No,No,Yes,Yes,DistrictName,DeliveryLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,DeliveryAddressLatitude,Delivery latitude,Real,,No,No,Yes,Yes,Latitude,DeliveryLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,DeliveryAddressLongitude,Delivery longitude,Real,,No,No,Yes,Yes,Longitude,DeliveryLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,DeliveryAddressLocationId,Delivery location ID,String (30),,No,No,Yes,Yes,LocationId,DeliveryLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,DeliveryAddressState,Delivery state,String (10),,No,No,Yes,Yes,State,DeliveryLogisticsPostalAddressBaseEntity
